Kamus Bausastra Sasak- Indonesia dan Indonesia - Sasak;Dewi Soyusiawati, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Kamus Penterjemah Bahasa Bahasa Tolaki ke Bahasa Indonesia;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Klasifikasi Data Penyakit Berdasarkan Usia dan Tekanan Darah Menggunakan Metode Fuzzy K-Mean;Ir. Ardi Pujiyanta, M.T.;Sri Winiarti, S.T., M.Cs.;Adhi Prahara, S.Si., M.Cs.
Klasifikasi Potensi Zakat Menggunakan Metode K-Nearest (K-NN) Berbasis Web Framework;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.
Knowledge Base ;Ir. Ardi Pujiyanta, M.T.;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.
Layanan Informasi Event Menggunakan LBS  Berbasis jQuery Mobile ;Ardiansyah, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
LBS Rental Berdasarkan Pencarian Info CD untuk mempercepat User dalam mencari judul CD;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Look and Feel Sampul dan daftar Isi Hypertext Book Berdasarkan Aspek User Experience dan User Interface;Ardiansyah, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Fiftin Noviyanto, S.T., M.Cs.
Majalah Elektronik Sekolah Berbasis Web Pada MTS Al Mahalli Pleret bantul;Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Majalah Elektronik Sekolah Berbasis Web Pada SD IT Luqman Al-Hakim;Drs. Wahyu Pujiyono,M.Kom;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Manajement Ruang Pasien Rawat Inap Pada RS PKU Muhammadiyah YK.;Drs. Wahyu Pujiyono, M.Kom..;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Media Informasi Wisata Kuliner Rawa Jombor Klaten Berbasis Multimedia;Murinto, S.Si., M.Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Media Komunikasi dan Iformasi pada Koperasi Simpan Pinjam Berbasis Web Mobiile dan SMS Gateway;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Media Konsultasi Untuk Penyakit Saluran Pernapasan Pada Manusia Dengan Menggunakan Metode CBR;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Aksara Sumbawa Berbasis Multimedia Pada Pelajaran Muatan Lokal;Drs. Wahyu Pujiyono, M.Kom.;Murinto, S.Si., M.Kom.;Yana Hendriana, S.T., M.Eng.
Media Pembelajaran Algoritma Garis Lingkaran dan Elips Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Algoritma Kriptografi Product Cipher Termodifikasi;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Media Pembelajaran Aritmatika Komputer Pada Materi Konversi Bilangan Berbasis Multimedia;Dr. Imam Riyadi, M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Drs. Tedy Setiadi, M.T.
Media Pembelajaran Bahasa Indonesia Tentang menentukan Tema dan Topik Certa untuk Siswa Sekolah Dasar ;Drs. Wahyu Pujiyono, M. Kom.;Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Media Pembelajaran Bahasa Inggris Berbasis Multimedia Untuk Meningkatkan Minat Peserta Didik SMP Negeri 1 Piyungan;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Bahasa Inggris Tentang Clothes Untuk Taman kanak-Kanak Berbasis Multimedia;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Media Pembelajaran Bahasa Inggris Tentang My Family Untuk TK Berbasis Multimedia;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.
Media Pembelajaran Bahasa Inggris Tentang Numbering Untuk Taman kanak-Kanak Berbasis Multimedia;Drs. Wahyu Pujiyono, M. Kom.;Ali Tarmuji, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Media Pembelajaran Berbantuan Komputer tentang bangun Datar untuk Sekolah Dasar Kelas 2;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.
Media Pembelajaran Berbantuan Komputer tentang bangun Ruang untuk Sekolah Dasar Kelas 1;Drs. Wahyu Pujiyono, M. Kom.;Sri Handayaningsih, S.T., M.T.;Murinto, S.Si., M.Kom.
Media Pembelajaran Berbasis Multimedia Untuk Perancangan Pada Menara Distilasi Multi Komponen;Sri Winiarti, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Media pembelajaran Bhs Indonesia;Drs. Wahyu Pujiyono, M. Kom.;Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Media Pembelajaran Bidirectional Associative Memory Pada Matakuliah Jaringan Saraf Tiruan Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Yana Hendriana, S.T., M.Eng.
Media Pembelajaran Database Fuzzy Dengan Metode Tahani Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil M.T.;Drs. Wahyu Pujiono, M.Kom.
Media pembelajaran dilengkapi kamus terjemahan bahasa melayu-b Indonesia;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Media Pembelajaran Entity Relationship Diagram Berbasis Multimedia;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
Media Pembelajaran Entity Relationship Diagram Dalam Mata Kuliah Basis Data Berbasis Multimedia Pada Uiversitas Ahmad Dahlan Yogyakarta;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Fuzzy Logic Untuk Metode Tzukamoto Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Media Pembelajaran Himpunan Fuzzy Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Media Pembelajaran Interaktif Ilmu Pengetahuan Alam Untuk Sekolah Dasar Kelas VI Berbasis Web HTML 5;Drs. Wahyu Pujiyono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Media Pembelajaran Interaktif Kerajinan Dari Bahan Lunak Dan Wirausaha Berbasis Multimedia Pada Mata Pelajaran Prakarya Dan Kewirausahaan Untuk Kelas XI Semester 1 Di SMK Negeri 1 Pengasih;Drs. Wahyu Pujiyono, M. Kom.;Murinto, S.Si., M.Kom.;Ardiansyah, S.T., M.Cs.
Media Pembelajaran Interaktif Khususnya Latihan Ketangkasan Baris-berbaris Menggunakan Tongkat berbasis Multimedia di SMA Negeri 7 Mataram;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Media Pembelajaran Interaktif Matematika Kelas V tentang Kubus dan Balok di Sekolah Negeri Warung Boto;Drs. Wahyu Pujiono, M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Ali Tarmuji, S.T., M.Cs.
Media Pembelajaran Interaktif Materi Kenampakan Alam Dan Keadaan Sosial Indonesia dan Negara Tetangga Mata Pelajaran IPS Kelas VI SD;Drs. Wahyu Pujiono, M.Kom.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Media Pembelajaran Interaktif Sholat Berjamaah Dan Munfarid;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Media pembelajaran Interaktif Tentang Daur Hidup Hewan Untuk Sekolah Dasar Kelas IV;Drs. Wahyu Pujiono, M.Kom.;Mushlihudin, S.T., M.T.;Eko Aribowo, S.T., M.Kom.
Media Pembelajaran Jaringan Komputer (VLAN) Berbasis Multimedia;Dr. Imam Riyadi, M.Kom.;Murinto, S.Si., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Media Pembelajaran Jaringan Saraf Tiruan Metode Hopfield Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Media Pembelajaran Jaringan Syaraf Tiruan Bidirectional Assosiative Memory Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Media Pembelajaran Jaringan Syaraf Tiruan Mesin Boltzman Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.
Media Pembelajaran Job Safety Induction Untuk Pegawai Atau Pekerja TBBM Pertamina (Persero) Tasikmalaya Berbasis Multimedia;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Yana Hendriana, S.T., M.Eng.
Media pembelajaran JST Brain State in a Box Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Media Pembelajaran Kecerdasan Buatan Pokok Bahasa Metode Pelacakan Berbasis Multimedia Dan Elearning;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.
Media Pembelajaran Knapsack Problem Pada Mata Kuliah Algoritma Genetika Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Komdat dan Jarkom Pada Materi Router mikrotik;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Media Pembelajaran Komposisi Tranformasi Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Komputer Mata Pelajaran Matematika Pada Materi Bilangan Sekolah Dasar Kelas III;Drs. Wahyu Pujiyono, M. Kom.;Ali Tarmuji, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Media Pembelajaran Learning Vector quantization Berbasis Multimedia Untuk Mempermudah Pemahaman Mahasiswa Dalam Matakuliah Jaringan Saraf Tiruan;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Learning Vector Quantization Mata Kuliah Jaringan Syaraf Tiruan Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Media Pembelajaran Materi Context Free Grammar Pada Mata Kuliah Teori bahasa Otomata;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Media Pembelajaran Materi Kurva Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Media pembelajaran materi pengenalan OpenGL pada mata kuliah Grafika Komputer;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Media Pembelajaran Materi Perbaikan Kualitas Citra Pada Mata Kuliah Pengolahan Citra;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Media Pembelajaran Materi Texture mapping pada Mata Kuliah Grafika Komputer Berbasis Multimedia;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ir. Ardi Pujiyanta, M.T.
Media Pembelajaran Materi Visible Survace determination pada Mata Kuliah Grafika Komputer;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Media Pembelajaran Menyambung Huruf Hijaiyah Berbasis Multimedia;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Media Pembelajaran Metode Parsing Pada Mata Kuliah Teori Bahasa Otomata Berbasis Multimedia;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.;Dewi Soyusiawaty, S.T., M.T.
Media Pembelajaran Multimedia Interaktif Doa Sehari-hari Untuk Taman Pendidikan Al Qur'an;Fiftin Novianto, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Media Pembelajaran Organisasi Komputer Terstruktur Tentang RISC Berbasis Multimedia;Eko Aribowo, S.T., M.Kom.;Dr. Imam Riyadi, M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Penerapan Integral untuk Mencari Luas, Volume dan Panjang Berbasis Multimedia;Murinto, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Media Pembelajaran Penerapan Turunan Untuk Menentukan Ekstrem Suatu Fungsi Berbasis Multimedia;Murinto, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Media Pembelajaran Pengenalan Sifat Bangun Datar, Sudut dan Perhitungan Luas Keliling Persegi dan Persegi Panjang Matematika Sekolah Dasar Kelas 3;Drs. Wahyu Pujiyono, M. Kom.;Ali Tarmuji, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Media Pembelajaran Pengurangan Resiko Bencana Gempa Bumi Bagi Penyandang Disabilitas;Ir. Ardi Pujiyanta, M.T.;Fiftin Noviyanto, S.T., M.Cs.;Adhi Prahara, S.Si., M.Cs.
Media Pembelajaran Penyelesaian Sistem Persamaan Garis  dan Bidang di Ruang 3 Dimensi Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Media Pembelajaran Penyelesaian Sistem Persamaan Linear Dengan metode Gaus Jordan;Ir. Ardi Pujiyanta, M.T.;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Media Pembelajaran Penyelesaian Sistem Persamaan Linear Dengan Reduksi Minor dan Ekspansi Kofaktor;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Peta Buta Sumatera Selatan Berbasis Adobe Flas;Drs. Wahyu Pujiono, M.Kom.;Arfiani Nur Khusna, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Media Pembelajaran Pondasi Algoritma Genetika Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Media Pembelajaran Proses Rendering Objek 3D Pada Mata Kuliah Grafika Komputer Berbasis Multimedia;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ir. Ardi Pujianta, M.T.
Media Pembelajaran Renang Berbasis Multimedia Interaktif Untuk Meningkatkan Pemahaman Siswa Dalam Materi Akuatik;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.
Media Pembelajaran Riset Operasi Pada Pokok Bahasan Multichannel Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Media Pembelajaran Riset Operasi Pada Pokok Bahasan Pemrograman Dinamis Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.
Media pembelajaran RO pd Poko Bahasan Antrian;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Drs. Tedy Setiadi, M.T.
Media Pembelajaran Ruang Hasil kali dalam untuk Mata Kuliah Aljabar Linier dan Matrik Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Media Pembelajaran Ruang Vektor Real Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Drs. Tedy Setiadi, M.T.
Media Pembelajaran Set Instruction pada Mata kuliah Organisasi dan Arsitektur Komputer Berbasis Multimedia;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Simulasi Mendalang Wayang Punakawan;Yana Hendriana, S.T., M.Eng.;Drs. Wahyu Pujiono, M.Kom.;Mushlihuddin, S.T., M.T.
Media Pembelajaran Sistem Operasi Materi Penjadwalan Proses Berbasis Multimedia;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Media Pembelajaran TBO Pokok Bahasan FA Berbasis Multimedia;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Media Pembelajaran Tentang Mengunakan Ukuran Waktu, Panjang dan Berat dalam Pemecahan Masalah untuk SD kelas 3;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Media Pembelajaran Tentang Pecahan Sederhana dan Penggunaannya dalam Pemecahan Masalah Untuk SD Kelas 3;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Media Pembelajaran Teori Bahasa Automata pada Materi Push Down Automata Berbasis Multimedia;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Media Pembelajaran Transformasi Citra Pada Mata Kuliah Pengolahan Citra Berbasis Multimedia;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Drs. Wahyu Pujiono, M.Kom.
Media Pembelajaran Unsur Pengambilan Keputusan Resiko dan Pohon Keputusan Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Media Pembelajaran Wayang Menggunakan Game Puzzle Berbasis Flash Dengan Tokoh Wayang Ramayana;Drs. Wahyu Pujiono, M.Kom.;Eko Aribowo, S.T., M.Kom;Taufiq Ismail, S.T., M.Cs.
Media pembelajaran web materi HTML berbaasis multimedia;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Media Pembelajaran Wireless Lan pada Mata Kuliah Komunikasi Data dan Jaringan Komputer Berbasis Multimedia;Dr. Imam Riyadi, M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Membangun Aplikasi Indikator Pergerakan Mata Uang British Pound/Japanese Yen Pada perdagangan Forex;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Membangun Aplikasi Nilai Gizi di Rumah Sakit Berbasis SMS Gateway;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Membangun Aplikasi Pengkonversi PHP Menjadi Flowchart Berbasis Web;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Membangun Aplikasi Waiters Restoran Berbasis Platform Mobile Android (Studi Kasus Ngeban Resto Yogyakarta);Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Membangun Basis Pengetahuan Untuk mendiagnosa Penyakit Pada Kehamilan dengan Model Penalaran Berbasis Kasus (CBR);Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Dewi Soyusiawaty, S.T., M.T.
Membangun E-Shop Untuk Kerajinan Kulit Manding Yogyakarta dengan Framework Codeigniter;Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
"Membangun Game Edukasi ""Saringman"" Guna Menanamkan Kebersihan Sejak Dini Kepada Anak";Fiftin Novianto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Membangun Game Edukasi Musik Berbasis Multimedia Untuk Meningkatkan Kepekaan Bermusik;Murinto, S.Si., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Sri Winiarti, S.T., M.Cs.
Membangun Image Editor Online yang terhubung dengan FB API;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Membangun Image Editor Online yg Trintegrasi dengan sosial media;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Membangun SI Manajemen Keuangan Badan Amal Zakat Kantor Urusan Agama;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Membangun Sistem Basis Pengetahuan Penyakit Tanaman Jenis Umbi-umbian Berbasis Multimedia;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Ardiansyah, S.T., M.Cs.
Membangun Sistem Informasi I-Resep Untuk Mencegah Pemalsuan Resep dan Sebagai Media Anti Penyangkalan Dokter Berbasis Web;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
Membangun Sistem Informasi Penjualan Berbasis Web pada Keramik Dasilan;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.;Fiftin Noviyanto, S.T., M.Cs.
Membangun Sistem Pembagian Beban Pada Server Pusat/Data Menggunakan Gluster Storage Platform;Mushlihuddin, S.T., M.T.;Ali Tarmuji, S.T., M.Cs.;Dr. Imam Riyadi, M.Kom.
Mengklasifikasi Spam Email Dengan Metode K-Medad Clustering Pada Kotak Masuk Email;Dewi Soyusiawaty, S.T., M.T.;Dr. Imam Riyadi, M.Kom.;Anna Hendri SJ, S.Kom, M.Cs.
Meningkatkan Keamanan PORT SSH dengan Metode PORT KNOCKING Menggunakan IPTABLES;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Metode Pembelajaran Bahasa Sasak Dilengkapi dengan Kamus Bahasa Sasak;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Metode Pembelajaran TIK untuk SMP Kelas VII Semester I (Gasal);Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Mobile Appication Menggunakan PDA untuk Mendukung Pelayanan Pengunjung Restoran;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Arif Rachman, S.Si., M.T.
Mobile Panduan Periwisata Yogyakarta dengan Google Map pada sistem operasi  Android.;Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Model Customer Relationship ManagemenT (CRM) di Wisma MM UGM Hotel and Convention Menggunakan Metode Iris Sebagai Bahan Acuan Dalam Pembangunan Sistem Informasi CRM;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Model Pendukung Keputusan penempatan Guru Wali Kelas dgn CBR;Sri Winiarti, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Model Pengelolaan Layanan Teknologi Informasi Untuk Kegiatan Ujian UTS, UAS, Di UAD Menggunakan Metode Information Technology Infrastructure Library versi 3;Sri Handayaningsih, S.T., M.T.;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Model Perbaikan Sistem Informasi Indeks Kinerja Dosen Berbasis Web Berdasarkan Hasil Pengukuran Tingkat Penerimaan Teknologi Menggunakan Technology Acceptance Model (TAM);Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Model Perencanaan Enterprise Architecture Planning (EAP) di CV. MSA Furniture dengan Zachman Framework Untuk Strategi Pengembangan Sistem Informasi & Teknologi Informasi;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Model Sistem Administrasi Masjid (SK : Masjid Jogokaryan YK);Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Modifikadi dan Implementasi Algoritma Cipher Block Chaining Dengan Row Transposition;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Modifikasi dan Implementasi Algoritma CBC dengan Block Transposition;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Mosele : Aplikasi Mobile Learning Budidaya Lele Sistem Terpal Berbasis Android;Herman Yuliansyah, S.T., M.Eng.;Eko Aribowo, S.T., M.Kom.;Arfiani Nur Khusna, S.T., M.Kom.
MOSELE : Aplikasi Web Clearning Budidaya Lele Berbasis Web;Herman Yuliansyah, S.T., M.Eng.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Multimedia Pembelajaran Diagonalisasi Matrik;Ir. Ardi Pujiyanta, M.T.;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.
Multimedia Pembelajaran Topologi Jaringan Berbasis Android;Eko Aribowo, S.T., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Murinto, S.Si., M.Kom.
Optimalisasi Jaringan Wireless Menggunakan Quality of Service (QoS) Dan Algoritma Hierarchi Token Bucket (HTB);Dr. Imam Riyadi, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Optimalisasi Monitoring Jaringan Wireless Menggunakan Dude Berbasis Mikrotik (Studi Kasus : PMI Narkas Kota Yogyakarta);Dr. Imam Riyadi, M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Herman Yuliansyah, S.T., M.Eng.
Optimalisasi Penyimpanan Video Menggunakan Video Cache pada Proxy Server;Dr. Imam Riyadi, M.Kom.;Ali Tarmuji, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Optimasi Frame Rate Pada Game yang dikembangkan dengan FPS Cractor;Mursid WH, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
